sample_id,label,PRS
HG00096,1,0.42370257680517787
HG00097,1,0.581989938258348
HG00099,1,0.34059867276202593
HG00100,1,0.4576126306469125
HG00101,0,-0.03862182797351481
HG00102,0,0.2111441831631175
HG00103,0,0.7609561035892493
HG00105,1,0.4857559068617452
HG00106,1,0.4714661419356285
HG00107,0,0.23652301099097217
HG00108,0,0.2956947885648657
HG00109,0,0.5498424914501027
HG00110,1,-0.08867492206692106
HG00111,1,-0.3240860822966368
HG00112,0,0.38791868907869365
HG00113,1,0.5076069745579666
HG00114,1,0.420854280308932
HG00115,1,0.5685453874178243
HG00116,0,0.5103835118664054
HG00117,0,0.24376236480382918
HG00118,1,0.34935256585884766
HG00119,0,0.5428410036715063
HG00120,1,0.870748828521224
HG00121,1,0.21356009253349434
HG00122,1,0.5310713663788289
HG00123,1,0.4088534801766971
HG00125,0,0.6316861657076253
HG00126,0,0.7626250595090723
HG00127,1,0.3076809811282527
HG00128,0,0.1313378166480338
HG00129,1,1.0041524161467554
HG00130,1,0.3647816418494033
HG00131,1,0.3032334116164689
HG00132,1,0.4845896181569709
HG00133,1,0.5689221336629879
HG00136,0,0.5644542053334671
HG00137,1,0.06242976973109346
HG00138,0,0.827802083221185
HG00139,0,0.17732923412585644
HG00140,0,0.554129402290649
HG00141,1,0.6109649317256705
HG00142,0,0.14306647519871318
HG00143,0,0.9071772539718701
HG00145,0,1.0021496641312175
HG00146,0,0.5333768227562308
HG00148,0,0.43282684457247034
HG00149,1,1.3822115643231336
HG00150,0,0.4903559689599011
HG00151,1,0.2363207132167373
HG00154,1,0.23238306948830345
HG00155,1,-0.02353206821590742
HG00157,1,0.5793938563749725
HG00158,0,0.3686964484745522
HG00159,0,0.2228593388044074
HG00160,0,0.3375049285708196
HG00171,0,0.38535600427661604
HG00173,1,0.4169056533676072
HG00174,0,0.1235929472937517
HG00176,0,-0.05204224755738532
HG00177,1,0.24598955425312666
HG00178,1,0.903297539070486
HG00179,0,-0.11490500610283841
HG00180,1,0.5102228220307947
HG00181,0,0.41566806833064096
HG00182,1,1.5385408480939335
HG00183,1,0.24533857354994265
HG00185,0,0.23476519720240602
HG00186,0,0.2458503604821261
HG00187,0,0.07399430567685089
HG00188,1,0.8724815855059413
HG00189,1,0.5636604766246688
HG00190,0,0.6365652930684241
HG00231,1,0.21239331799451738
HG00232,0,0.31576983250962776
HG00233,0,0.6037773326653089
HG00234,0,0.23833967712715393
HG00235,0,0.7383489447986045
HG00236,1,0.21068750934291353
HG00237,0,0.7761223145175138
HG00238,1,0.44304335542409434
HG00239,0,0.010489313405537576
HG00240,1,0.5008545771301344
HG00242,1,0.3939702189731442
HG00243,0,0.24119323709472773
HG00244,0,0.964169790283425
HG00245,1,-0.06401177924464452
HG00246,0,0.5680886312947108
HG00250,1,0.60908980027776
HG00251,0,0.36501886813796086
HG00252,0,0.564147976862517
