,coefficients
6_28406821,0.10679136660487731
6_30109831,0.07556660639324705
6_30110058,-6.505189050073857
6_30110337,0.3055257703260845
6_30111014,0.07556660639324705
6_30111526,0.3055257703260845
6_30111610,0.3055257703260845
6_30112627,0.3055257703260845
6_30112704,0.3055257703260845
6_30112906,0.3055257703260845
6_30113344,3.3106560748622473
6_30113427,0.3055257703260845
6_30113471,0.3055257703260845
6_30113955,0.3055257703260845
6_30117101,-4.903883431753949
6_30117913,-3.451529751558415
6_30118128,5.343810027395966
6_30118489,2.7063727777253748
6_30120268,0.49841146680695564
6_30142458,2.3800878620086308
6_30145083,-1.1657353538470647
6_30154199,0.034852226350626896
6_30155108,3.7760186840625307
6_30157654,-1.8816602459663245
6_30159039,-0.3963670384013664
6_30159854,-2.675826999898823
6_30175847,0.3792379433329699
6_30176311,4.02783476780152
6_30178287,-1.9954202191721817
6_30179026,-0.9746329085260944
6_30179152,-0.9746329085260944
6_30181275,0.6884845794956818
6_30186863,-1.881487999624331
6_30187164,0.5482818630499939
6_30187434,0.5482818630499939
6_30188158,0.5482818630499939
6_30188199,2.955435301126629
6_30190640,-0.45182276202357285
6_30191587,-5.581744318209676
6_30193513,-0.8033066143284807
6_30194103,0.5482818630499939
6_30194531,-1.6139391245267356
6_30196313,0.5482818630499939
6_30196855,0.5482818630499939
6_30199067,0.5482818630499939
6_30199512,2.5826761127199647
6_30201955,-2.777637541242791
6_30202052,3.763094434583518
6_30202429,-2.777637541242791
6_30203602,1.3856177668623313
6_30816850,-4.603591845069006
6_31083420,-0.15694410309345763
6_31093587,0.21434648017252947
6_31093699,-0.28639730143086606
6_31094154,-0.924720757496315
6_31094482,-1.1102113556981634
6_31095285,3.089146559993946
6_31095801,-1.1102113556981634
6_31431691,0.11428410067353743
6_31914673,-0.6908727669856998
6_32409996,0.1812069121532262
6_32804687,0.16245457736260766
6_32902001,-0.37190988109408385
6_33232055,-0.04538602935695587
6_33252115,-0.24131546327534126
6_33255103,4.181351768566799
6_33256984,-2.1255463483663544
6_33257186,-2.1255463483663544
6_33258443,0.20639128214557445
6_33267672,-0.5925354139435066
6_33272855,-0.3785226050732554
6_33280629,0.03973822656099742
6_33282002,-0.9966895736566107
6_33282181,1.4169652376574347
6_33282628,-0.5248225969568913
6_33283766,0.45323494408884424
6_33290547,-0.19189355875027084
6_33290825,1.1923757583719432
6_33311242,-0.19245307974351775
6_137897086,-2.3033369273457396
